FOODID;FOODNAME;LANG
437;Juice, citronjuice, utspädd;SV
438;Juice, ananasjuice, vitamin c;SV
440;Lingon;SV
441;Tranbär;SV
442;Blåbär, skogsblåbär;SV
444;Svart vinbär;SV
445;Rött vinbär;SV
446;Krusbär;SV
447;Jordgubbe;SV
448;Hallon;SV
449;Hjortron;SV
450;Bärsylt, medelvärde;SV
451;Saft, ångad, outspädd, sockrad;SV
452;Saft, ångad, svartvinbärssaft, outspädd, sockrad;SV
453;Saft, ångad, outspädd, sockerfri;SV
454;Bär, medelvärde;SV
455;Havtorn;SV
456;Bärmarmelad;SV
457;Rönnbär;SV
458;Saft, svartvinbärs-lingondryck;SV
459;Saft, lingonsaft, outspädd;SV
461;Saft, ångad, utspädd, sockrad;SV
462;Saft, ångad, svartvinbärssaft, utspädd, sockrad;SV
463;Saft, ångad, utspädd, sockerfri;SV
469;Juice, fem frukters juice, vitamin c;SV
471;Ananas, konserv, i egen juice;SV
472;Äppelmos, osötat;SV
473;Fruktdryck, nektar, frukthalt 50 %;SV
474;Juice, bärjuice, osötad;SV
476;Sylt, sötad med fruktos;SV
477;Melon, nätmelon, cantaloupe, skalad;SV
478;Bärjuice, nektar, bärhalt 50 %;SV
500;Smör;SV
530;Bageriindustrimargarin 80 %, bakning;SV
531;Matolja för livsmedelindustri, 70 % rypsölja, 30 % palmolja;SV
535;Rypsolja;SV
536;Olivolja;SV
537;Jordnötolja;SV
540;Solrosolja;SV
541;Matolja, medelvärde, 87 % ryps-, 8 % solros- och 5 % olivolja;SV
542;Sojaolja;SV
543;Majsolja;SV
550;Stekfett, ister;SV
552;Kokosfett 100 %;SV
553;Talg, rått nötfett;SV
562;Majonnäs, hamburgaredressing, 60 % fett;SV
563;Salladsdressing, fransk;SV
565;Matfettsblandning 40 %, låg salt- och laktoshalt, kevyt levi;SV
568;Margarin 60 %, rainbow/pirkka/eldorado/k-menu;SV
570;Matfettsblandning 40 %, låg laktoshalt, kevyt levi;SV
576;Smör, osaltat;SV
578;Majonnäs, 27-33 % fett;SV
579;Salladsdressing, fett <17 %, låg fetthalt;SV
585;Smör, kraftigt saltat;SV
593;Bakmargarin 80 %, pirkka/rainbow;SV
597;Matfettsblandning 75 %, medelvärde av industriella produkter;SV
598;Smörolja 100%, mjölkfett;SV
600;Mjölk, gårdsmjölk, råmjölk, 4,4 % fett, utan tillsatt vitamin d;SV
602;Råmjölk, colostrum;SV
604;Mjölk, getmjölk;SV
606;Mjölk, fettfri, 1 ug vitamin d;SV
611;Surmjölk, hushållssurmjölk, 0,8 % fett, 1 ug vitamin d;SV
612;Surmjölk, fettfri, 1 ug vitamin d;SV
613;Surmjölk, kärnmjölk, 0,3 % fett, 1 ug vitamin d;SV
