FOODID;SPECDIET
103;SALTFREE
103;SOYAFREE
103;UNSWEET
110;MILKFREE
110;LACOVEGE
110;LACSFREE
110;LACVEGE
110;VEGAN
110;EGGFREE
110;SALTFREE
110;SOYAFREE
110;UNSWEET
111;MILKFREE
111;LACOVEGE
111;LACSFREE
111;LACVEGE
111;VEGAN
111;EGGFREE
111;SALTFREE
111;SOYAFREE
111;UNSWEET
112;MILKFREE
112;LACOVEGE
112;LACSFREE
112;LACVEGE
112;VEGAN
112;EGGFREE
112;SOYAFREE
112;UNSWEET
112;SALTFREE
113;MILKFREE
113;LACOVEGE
113;LACSFREE
113;LACVEGE
113;VEGAN
113;EGGFREE
113;SALTFREE
113;SOYAFREE
113;UNSWEET
114;MILKFREE
114;LACOVEGE
114;LACSFREE
114;LACVEGE
114;VEGAN
114;EGGFREE
114;SALTFREE
114;SOYAFREE
114;UNSWEET
115;MILKFREE
115;LACOVEGE
115;LACSFREE
115;LACVEGE
115;VEGAN
115;EGGFREE
115;SALTFREE
115;SOYAFREE
115;UNSWEET
116;MILKFREE
116;LACOVEGE
116;LACSFREE
116;LACVEGE
116;VEGAN
116;EGGFREE
116;SALTFREE
116;SOYAFREE
116;UNSWEET
117;MILKFREE
117;LACOVEGE
117;LACSFREE
117;LACVEGE
117;VEGAN
117;EGGFREE
117;SALTFREE
117;SOYAFREE
117;UNSWEET
119;MILKFREE
119;LACOVEGE
119;LACSFREE
119;LACVEGE
119;VEGAN
119;EGGFREE
119;SALTFREE
119;SOYAFREE
119;UNSWEET
120;MILKFREE
120;LACOVEGE
120;LACSFREE
120;LACVEGE
120;VEGAN
120;EGGFREE
120;SOYAFREE
120;UNSWEET
121;EGGFREE
121;LACOVEGE
121;LACSFREE
121;LACVEGE
121;MILKFREE
121;SALTFREE
121;SOYAFREE
121;UNSWEET
121;VEGAN
124;MILKFREE
124;LACOVEGE
124;LACSFREE
124;LACVEGE
124;VEGAN
124;EGGFREE
124;SALTFREE
124;SOYAFREE
124;UNSWEET
125;MILKFREE
125;LACOVEGE
125;LACSFREE
125;LACVEGE
125;VEGAN
125;EGGFREE
125;SALTFREE
125;SOYAFREE
125;UNSWEET
126;LACOVEGE
126;LACVEGE
126;EGGFREE
126;SALTFREE
126;SOYAFREE
126;LACSFREE
126;MILKFREE
133;LACOVEGE
133;LACSFREE
133;SOYAFREE
142;MILKFREE
142;LACOVEGE
142;LACSFREE
142;LACVEGE
142;VEGAN
142;EGGFREE
142;SALTFREE
142;SOYAFREE
142;UNSWEET
150;MILKFREE
150;LACOVEGE
150;LACSFREE
150;LACVEGE
150;VEGAN
150;EGGFREE
150;SALTFREE
150;SOYAFREE
150;UNSWEET
151;MILKFREE
151;LACOVEGE
151;LACSFREE
151;LACVEGE
151;VEGAN
151;EGGFREE
151;SALTFREE
151;SOYAFREE
151;UNSWEET
152;MILKFREE
152;LACOVEGE
152;LACSFREE
152;LACVEGE
152;VEGAN
152;EGGFREE
152;SALTFREE
152;SOYAFREE
152;UNSWEET
153;MILKFREE
153;LACOVEGE
153;LACSFREE
153;GLUTFREE
153;LACVEGE
153;VEGAN
153;EGGFREE
153;SALTFREE
153;SOYAFREE
153;UNSWEET
154;MILKFREE
154;LACOVEGE
154;LACSFREE
154;LACVEGE
154;VEGAN
154;EGGFREE
154;SALTFREE
154;SOYAFREE
154;UNSWEET
156;GLUTFREE
156;MILKFREE
156;LACOVEGE
156;LACSFREE
156;LACVEGE
156;VEGAN
156;EGGFREE
156;SALTFREE
156;SOYAFREE
156;UNSWEET
156;NAGLUFRE
158;GLUTFREE
158;LOWCHOL
158;HIGHFIBR
158;MILKFREE
158;LOWFAT
158;LACOVEGE
158;CHOLFREE
158;LACSFREE
158;LACVEGE
158;VEGAN
158;LOWSALT
158;EGGFREE
160;GLUTFREE
160;LACOVEGE
160;LACSFREE
160;LACVEGE
160;VEGAN
160;EGGFREE
160;SALTFREE
160;SOYAFREE
160;UNSWEET
160;MILKFREE
160;NAGLUFRE
161;GLUTFREE
161;MILKFREE
161;LACOVEGE
161;LACSFREE
161;LACVEGE
161;VEGAN
161;EGGFREE
161;UNSWEET
161;SOYAFREE
161;SALTFREE
161;NAGLUFRE
162;GLUTFREE
162;MILKFREE
162;LACOVEGE
162;LACSFREE
162;LACVEGE
162;VEGAN
162;EGGFREE
162;UNSWEET
162;SOYAFREE
162;SALTFREE
162;NAGLUFRE
167;GLUTFREE
167;MILKFREE
167;LACOVEGE
167;LACSFREE
167;LACVEGE
167;VEGAN
167;EGGFREE
167;UNSWEET
167;SOYAFREE
167;SALTFREE
167;NAGLUFRE
168;MILKFREE
168;LACOVEGE
168;LACSFREE
168;LACVEGE
168;VEGAN
168;EGGFREE
168;UNSWEET
168;SALTFREE
168;SOYAFREE
170;MILKFREE
170;LACOVEGE
170;LACSFREE
170;GLUTFREE
170;LACVEGE
170;VEGAN
170;EGGFREE
