FOODID;FOODNAME;LANG
1;Sokeri;FI
2;Fruktoosi, hedelmäsokeri;FI
3;Siirappi;FI
4;Hunaja;FI
5;Makeinen, karamelli;FI
6;Suklaa, keskiarvo;FI
7;Suklaakonvehti, marmeladitäyte;FI
8;Lakritsi;FI
9;Makeinen, marmeladimakeinen;FI
10;Marsipaani, mantelimassa;FI
11;Makeinen, toffee;FI
12;Makeinen, salmiakkipastilli;FI
14;Suklaapatukka suklainen, keskiarvo;FI
20;Kaakaojauhe, ei lisättyä sokeria;FI
21;Kaakaojauhe, sokeroitu;FI
24;Sorbitoli;FI
25;Liivate;FI
26;Hiiva, tuore;FI
27;Jauho, maissitärkkelys;FI
28;Sinappi;FI
30;Ruokasuola, jodioitu;FI
31;Maustekastike, soijakastike;FI
32;Suklaa, tumma;FI
33;Suklaa, maitosuklaa;FI
34;Halva seesamsiemenvalmiste;FI
35;Makeinen, sokeriton;FI
36;Mineraalisuola, keskiarvo;FI
37;Suklaa, sokeriton, keinotekoisesti makeutettu;FI
38;Lihaliemijauhe/tiiviste;FI
39;Makeutusaine, aspartaami, jauhe;FI
40;Välipalapatukka, kuituinen;FI
43;Ruismallas;FI
44;Suklaapatukka täytesuklaa, keskiarvo;FI
62;Ksylitolipastilli;FI
63;Suklaapatukka vähärasvainen;FI
65;Ksylitolipurukumi;FI
66;Purukumi;FI
68;Ohratärkkelys;FI
69;Hedelmäpastilli, arabikumipastilli;FI
70;Makeutusaine sakariini;FI
73;Jogurttirusina/jogurttihedelmä, kuorrutettu kuivattu hedelmä;FI
74;Leivinjauhe;FI
75;Kalaliemi, laimennettu;FI
79;Ruokasuola, jodioimaton, vuorisuola;FI
100;Jauho, ruisjauho, kokojyväjauho;FI
103;Ruishiutale;FI
110;Jauho, vehnäjauho, puolikarkea;FI
111;Jauho, grahamjauho;FI
112;Mannasuurimo;FI
113;Mannasuurimo, tumma;FI
114;Vehnähiutale;FI
115;Vehnänalkio;FI
116;Lese, vehnälese;FI
117;Makaroni, pasta;FI
119;Makaroni, tumma;FI
120;Nuudeli, vehnänuudeli;FI
121;Pasta, spagetti, makaroni;FI
124;Jauho, hiivaleipävehnäjauho;FI
125;Jauho, jauhoseos, sämpyläjauho, vehnäjauho, ruisjauho, vehnärouhe;FI
126;Jauho, korppujauho;FI
133;Vohvelikuori, jäätelövohveli;FI
142;Jauho, vehnäjauho, leipomoteollisuus, vastajauhettu;FI
150;Jauho, ohrajauho;FI
151;Ohrasuurimo;FI
152;Ohrahiutale;FI
153;Kaurahiutale;FI
154;Jauho, jauhoseos, talkkunajauho, sisältää ohraa;FI
156;Riisi puuroutuva;FI
158;Täysjyväriisi;FI
160;Jauho, hirssisuurimo tai -jauho;FI
161;Jauho, tattarisuurimo tai -jauho;FI
162;Jauho, perunajauho tai -suurimo, perunatärkkelys;FI
167;Maissi, jyvä, kuivattu;FI
168;Kalja- / mämmimallas;FI
170;Lese, kauralese;FI
172;Pasta, pinaattispagetti, sisältää kananmunaa;FI
173;Kauramakaroni, sisältää vehnää ja kauraa;FI
175;Rouhe, vehnärouhe kokojyvästä;FI
176;Rouhe, ruisrouhe;FI
182;Jauho, riisijauho, riisihiutale;FI
183;Jauho, täysjyväriisijauho;FI
184;Maissilastu, tacokuori;FI
185;Jauho, jauhoseos, gluteeniton, vehnätärkkelystä;FI
189;Jauho, jauhoseos, ruis-vehnä;FI
202;Peruna, kuivattu;FI
203;Perunalastu;FI
204;Peruna, uusi;FI
205;Peruna, vanha, kuorittu;FI
206;Perunasosejauhe, valmistamaton;FI
207;Ranskanperunavalmiste;FI
209;Perunahiutale;FI
300;Porkkana;FI
302;Porkkana, kuivattu;FI
303;Lanttu;FI
304;Nauris;FI
305;Punajuuri;FI
307;Etikkapunajuuri;FI
308;Retiisi;FI
309;Palsternakka;FI
310;Maa-artisokka;FI
311;Juuriselleri;FI
312;Mustajuuri;FI
320;Valkokaali, keräkaali;FI
321;Punakaali;FI
322;Kukkakaali;FI
324;Parsakaali, brokkoli;FI
326;Lehtikaali;FI
327;Ruusukaali;FI
329;Kyssäkaali, kaalirapi;FI
330;Lehtisalaatti, ruukkusalaatti, lollo rosso;FI
331;Jäävuorisalaatti, rapea keräsalaatti, amerikansalaatti;FI
333;Persilja;FI
334;Nokkonen;FI
335;Sipuli, keltasipuli;FI
336;Sipuli, kuivattu;FI
337;Purjosipuli;FI
338;Raparperi;FI
339;Lehtiselleri, varsiselleri;FI
340;Parsa, säilötty;FI
342;Sieni tatti, hapero;FI
343;Sieni rouskut, suolattu;FI
344;Etikkasienisäilyke;FI
345;Herkkusieni;FI
346;Kurkku;FI
347;Etikkakurkku, ei lisättyä sokeria;FI
348;Maustekurkku, herkkukurkku, sokerisuolattu;FI
350;Kurpitsa;FI
351;Salaatti, kurpitsasalaatti, pikkelssi;FI
352;Tomaatti;FI
353;Ketsuppi;FI
354;Tomaattisose, tomaattipyree;FI
355;Paprika, keskiarvo;FI
356;Sekavihannes, porkkana, kukkakaali, herne, papu;FI
358;Täysmehu, kasvistuoremehu;FI
359;Kiinankaali;FI
360;Mangoldi;FI
362;Munakoiso;FI
363;Maissi, jyvät;FI
364;Vihanneskrassi;FI
367;Kantarelli;FI
368;Korvasieni;FI
369;Tilli, tuore;FI
370;Herne, vihreä, tuore;FI
371;Herne, vihreä, kuivattu;FI
372;Papu, vihreä taitepapu, tuore;FI
373;Papu, ruskea tai valkoinen, kuivattu, keskiarvo;FI
375;Pähkinä, hasselpähkinä;FI
376;Pähkinä, saksanpähkinä;FI
377;Kastanja;FI
378;Pähkinä, maapähkinä;FI
379;Manteli;FI
380;Jauho, soijajauho, rasvainen;FI
381;Jauho, soijajauho, vähärasvainen;FI
382;Kookoshiutale;FI
383;Pähkinä, suolapähkinä;FI
384;Itu, keskiarvo, sinimailanen, mungopapu;FI
385;Seesaminsiemen, kuorineen;FI
386;Paprika, punainen;FI
387;Paprika, vihreä;FI
388;Paprika, keltainen;FI
389;Kesäkurpitsa, zucchini;FI
390;Täysmehu, tomaattimehu;FI
391;Soijapapu, kuivattu;FI
392;Ruohosipuli;FI
393;Valkosipuli;FI
394;Salaatti, kurkkusalaatti, kurkkupikkelssi, kurkkurelissi;FI
395;Papu, valkoinen, keitetty;FI
398;Tomaattimurska;FI
399;Linssi, vihreä/ruskea, kuivattu;FI
401;Omena, kuivattu;FI
408;Aprikoosi, sokeriliemessä;FI
409;Aprikoosi, kuivattu;FI
411;Persikka, sokeriliemessä;FI
412;Persikka, kuivattu;FI
417;Ananas, sokeriliemessä;FI
423;Viinirypäle, keskiarvo, kivetön, vihreä/tumma;FI
427;Sekahedelmä, kuivattu;FI
428;Rusina;FI
431;Oliivi, keskiarvo, punnittu kivineen, öljyssä, vihreä/musta;FI
432;Hedelmäsalaattisäilyke, sokeriliemessä;FI
433;Täysmehu, omenatäysmehu, c-vitamiinia;FI
434;Täysmehu, appelsiinitäysmehu, c-vitamiinia;FI
435;Täysmehu, greippitäysmehu, c-vitamiinia;FI
436;Täysmehu, c-vitamiinia, keskiarvo;FI
437;Täysmehu, sitruunatäysmehu, laimennettu;FI
438;Täysmehu, ananastäysmehu, c-vitamiinia;FI
440;Puolukka;FI
441;Karpalo;FI
442;Mustikka, metsämustikka;FI
444;Mustaherukka;FI
445;Punaherukka;FI
446;Karviainen;FI
447;Mansikka;FI
448;Vadelma;FI
449;Lakka, suomuurain, hilla;FI
450;Marjahillo, keskiarvo;FI
451;Mehu, höyrymehu, laimentamaton, sokeroitu;FI
452;Mehu, höyrymehu, mustaherukka, laimentamaton, sokeroitu;FI
453;Mehu, höyrymehu laimentamaton, sokeriton;FI
454;Marja, keskiarvo;FI
455;Tyrnimarja;FI
456;Marmeladi, marjoista;FI
457;Pihlajanmarja;FI
458;Mehu, mustaherukka-puolukkamehujuoma;FI
459;Mehu, mehujuoma, puolukka, laimentamaton;FI
461;Mehu, höyrymehu laimennettu, sokeroitu;FI
462;Mehu, höyrymehu, mustaherukka, laimennettu, sokeroitu;FI
463;Mehu, höyrymehu laimennettu, sokeriton;FI
469;Täysmehu, viiden hedelmän mehu, c-vitamiinia;FI
471;Ananas, omassa liemessään;FI
472;Omenasose, makeuttamaton;FI
473;Mehu, nektari, hedelmäjuoma, hedelmäpitoisuus 50 %;FI
474;Täysmehu, marjatäysmehu;FI
476;Hillo, fruktoosilla makeutettu;FI
477;Meloni, verkkomeloni/cantaloupemeloni, kuorittu;FI
478;Marjajuoma, nektari, marjapitoisuus 50 %;FI
500;Voi;FI
530;Leipomoteollisuusmargariini 80%, leivonta;FI
531;Ruokaöljy teollisuuskäyttöön, 70 % rypsiöljyä, 30 % palmuöljyä;FI
535;Rypsiöljy;FI
536;Oliiviöljy;FI
537;Maapähkinäöljy;FI
540;Auringonkukkaöljy;FI
541;Ruokaöljy keskiarvo, 87 % rypsi- 8 % auringonkukka- ja 5% oliiviöljy;FI
542;Soijaöljy;FI
543;Maissiöljy;FI
550;Paistinrasva, laardi;FI
552;Kookosrasva 100 %;FI
553;Tali, raaka naudanrasva;FI
562;Majoneesi, hampurilaiskastike, rasvaa 60 %;FI
563;Salaatinkastike, ranskalainen;FI
565;Rasvaseos 40%, kevyt levi, vähemmän suolaa, vl;FI
568;Margariini 60%, rainbow/pirkka/eldorado/k-menu;FI
570;Rasvaseos 40%, kevyt levi vl;FI
576;Voi, suolaton;FI
578;Majoneesi, rasvaa 27-33 %;FI
579;Salaatinkastike, rasvaa <17%, vähärasvainen;FI
585;Voi, voimakassuolainen;FI
593;Leivontamargariini 80%, pirkka/rainbow;FI
597;Rasvaseoslevite 75 %, tuotekeskiarvo;FI
598;Voiöljy 100%, maitorasvaa;FI
600;Maito, tilamaito, raakamaito, rasvaa 4,4 %, ei lisätty d-vitamiinia;FI
602;Ternimaito;FI
604;Maito, kutunmaito, vuohenmaito;FI
606;Maito, rasvaton, d-vitamiinia 1 ug;FI
611;Piimä, talouspiimä, rasvaa 0,8 %, d-vit 0,5 ug;FI
612;Piimä, rasvaton, d-vit 1 ug;FI
613;Piimä, kirnupiimä, rasvaa 0,3 %, d-vit 1 ug;FI
615;Kermaviili, rasvaa 10-12 %;FI
616;Piimä, asidofiluspiimä, rasvaa 2,5 %, d-vit 1 ug, probiootteja;FI
617;Viili, maustamaton, rasvaa 3,5 %;FI
618;Viili, maustamaton, kevytviili, rasvaa 2 %;FI
619;Jogurtti, maustamaton, rasvaa 2,5 %, vl;FI
622;Rahka, maitorahka, maustamaton, rasvaa <0,5 %;FI
627;Maito, ykkösmaito, d-vitamiinia 1ug;FI
628;Creme fraiche, ranskankerma, rasvaa 28 %;FI
629;Kerma, vispikerma, rasvaa 38 % ,vl, iskukuumennettu;FI
630;Smetana, rasvaa n. 40 %;FI
631;Kerma, kuohukerma, rasvaa 38 %;FI
632;Ruoanvalmistuskerma, rasvaa 19 %, kahvikerma;FI
633;Kerma, kahvikerma, kevyt, rasvaa 10 %, vl;FI
635;Raejuusto, rasvaton, vl;FI
636;Viili, kerrosviili, maustettu hillolla, ykkösviili, rasvaa 1 %, vl;FI
637;Jogurtti, maustamaton, rasvaton, vl, d-vit 0,5 ug;FI
639;Jogurtti, maustettu, rasvaton;FI
640;Juusto, valkohomejuusto, rasvaa 26-30 %, camembert/brie;FI
641;Juusto, kermajuusto, rasvaa 30 %, turunmaa/oltermanni/korsholm/masurkka;FI
642;Juusto, emmentaljuusto, rasvaa 27-30 %, punaleima;FI
643;Juusto, kova pienikoloinen juusto, rasvaa 24-27 %, edam;FI
644;Juusto, puolikova juusto, rasvaa 9-11 %, kevyt, edam/kadett;FI
645;Juusto, kutunjuusto, vuohenjuusto, rasvaa 30 %, kova juusto;FI
647;Sulatejuusto, rasvaa 20-24 %, keskirasvainen;FI
648;Sulatejuusto, rasvaa 27-35 %, runsasrasvainen;FI
649;Raejuusto, rasvaa 2-5 %;FI
650;Tuorejuusto, kotijuusto, rasvaa 9-14 %, maalaisjuusto;FI
653;Juusto, sinihomejuusto, rasvaa 27-30 %, aura/danazole, keskiarvo;FI
654;Juusto, gouda/salaneuvos, keskiarvo, rasvaa 28-30 %;FI
655;Juusto, puolikova juusto, rasvaa 25-35 %, lappi/småland/billinge/rustholli;FI
657;Juusto, leipäjuusto, rasvaa 17-23 %;FI
658;Tuorejuusto, runsasrasvainen, mustapippurijuusto;FI
659;Sulatejuusto, rasvaa 9-12 %, vähärasvainen;FI
661;Jäätelö, pehmytjäätelö, vohveli;FI
663;Jäätelö, kermajäätelö;FI
664;Jäätelö, kermajäätelöpuikko, suklaakuorrute, keskiarvo;FI
665;Jäätelö, kermajäätelötuutti;FI
666;Jäätelö, maitojäätelö;FI
667;Jäätelö, sokeriton, keinotekoisesti makeutettu, rasvaa 6,5 %;FI
668;Jäätelö, kermajäätelö, rasvaa yli 12 %, keskiarvo;FI
669;Jäätelö, rasvaton;FI
672;Maitojauhe, rasvaton;FI
675;Maito, kevytmaito, vl, d-vitamiinia 1 ug;FI
680;Viili, maustamaton, rasvaa 1 %, ykkösviili;FI
682;Tuorejuusto, rasvaa 30 %, maustettu, creme bonjour/cantadou;FI
684;Maito, kevytmaito, d-vitamiinia 1 ug;FI
685;Jogurtti, maustettu, rasvaton, osittain keinotekoisesti makeutettu, ka.;FI
686;Jogurtti, maustettu, rasvaa 7 %;FI
687;Jogurtti, ruoanvalmistusjogurtti, rasvaa 6-8 %, vl;FI
689;Maito, täysmaito, d-vitamiinia 1 ug;FI
690;Juusto, salaattijuusto, rasvaa 18 %, lehmänmaito, suolaliemessä;FI
691;Juusto, emmentaljuusto, rasvaa 27-30 %, suurikoloinen, sinileima/gruyere;FI
698;Juusto, cheddar, rasvaa 34 %;FI
699;Ruoanvalmistuskerma, kasvirasvakerma, rasvaa 15 %;FI
701;Sianruho, keskirasvainen;FI
703;Siankyljys/selkä, paksu rasvakerros;FI
704;Siankinkku, silavoineen;FI
705;Sianlapa;FI
706;Siankylki;FI
707;Pekoni, 32 % rasvaa;FI
708;Sian selkäsilava;FI
709;Sianpotka;FI
711;Jauheliha, sika-nauta;FI
712;Jauheliha, naudan, vähärasvainen, rasvaa 7 %;FI
713;Sianliha, keskiarvo;FI
714;Naudanliha, rasvainen, keskiarvo;FI
716;Naudanruho, keskirasvainen, 13 % rasvaa;FI
718;Naudanpaisti;FI
719;Naudanlapa/etuselkä, naudan keittoliha;FI
720;Naudanpotka;FI
721;Naudanrinta;FI
722;Naudanfilee, ulkofilee;FI
723;Naudankylki;FI
726;Vasikanpaisti;FI
730;Lampaanliha, vähärasvainen;FI
731;Lampaanliha, rasvainen;FI
732;Lampaanpaisti;FI
734;Poronliha;FI
735;Hirvenliha;FI
736;Jänis;FI
737;Kani;FI
741;Lihasäilyke, naudanliha;FI
743;Lihasäilyke, sika-nauta;FI
747;Lihahyytelö;FI
748;Sianpaisti, vähärasvainen;FI
750;Kana;FI
751;Broileri, kokonainen, nahkoineen, raaka;FI
752;Kalkkuna nahkoineen;FI
753;Metsälintu;FI
754;Broilerisuikale;FI
775;Kokolihaleikkele, saunapalvikinkku, rasvaa 6 %;FI
776;Kokolihaleikkele, naudanlihaleikkele, rasvaa 2,8 %;FI
779;Kokolihaleikkele, keittokinkku, rasvaa 3 %;FI
786;Maksa, naudan;FI
787;Maksa, sian;FI
788;Maksa, broilerin;FI
789;Maksa, poron;FI
790;Maksa, keskiarvo;FI
791;Munuainen;FI
792;Sydän, naudan;FI
793;Kieli, naudan;FI
794;Veri;FI
797;Kokolihaleikkele, poroleikkele, kylmäsavustettu;FI
799;Kokolihaleikkele, kinkkuleikkele, vähärasvainen, rasvaa 3 %;FI
800;Silakka, tuore, itämeri;FI
801;Silakka, suolattu, itämeri;FI
802;Silakka, savustettu, itämeri;FI
803;Silli, tynnyriin suolattu;FI
804;Turska;FI
805;Kuha;FI
806;Puna-ahven, savustettu;FI
807;Sinipallas, savustettu;FI
809;Muikku, järvi;FI
810;Muikku, järvi, suolattu;FI
811;Muikku, järvi, savustettu;FI
812;Ahven;FI
813;Hauki;FI
814;Lahna;FI
815;Siika;FI
816;Siika, savustettu;FI
817;Lohi, kokonainen;FI
818;Lohi, tuoresuolattu;FI
819;Made;FI
820;Kampela;FI
821;Ankerias;FI
822;Kirjolohi, kokonainen, keskiarvo;FI
823;Taimen;FI
824;Kala, keskiarvo, silakka/muikku/ahven/hauki;FI
825;Nahkiainen, savustettu;FI
826;Seiti, pakaste;FI
828;Tonnikala, öljyssä, säilyke;FI
829;Anjovis;FI
830;Lohi, öljyssä;FI
831;Sardiini, keskiarvo, öljyssä ja tomaattikastikkeessa;FI
832;Kaviaari, sammen mäti;FI
833;Mätitahna;FI
834;Sinisimpukka, vedessä, säilyke;FI
835;Katkarapu;FI
836;Rapu;FI
837;Silli, mauste/suolasilli, keskiarvo;FI
838;Silakka, mauste/suolasilakka, keskiarvo;FI
844;Lahna, savustettu;FI
845;Särki;FI
846;Puna-ahven, punasimppu, pakaste;FI
848;Kirjolohifilee, meri;FI
851;Kananmunan keltuainen, 34 % kananmunan massasta;FI
852;Kananmunan valkuainen, 66 % kananmunan massasta;FI
855;Viiriäisen muna;FI
856;Kala, savustettu, keskiarvo, vähärasvainen;FI
857;Kala, savustettu, keskiarvo, rasvainen;FI
858;Kananmuna, kuoreton;FI
859;Silli, valkosipuli-/sinappikastikkeessa;FI
860;Silakka, tilli-/sinappikastikkeessa;FI
862;Tonnikala;FI
863;Osteri;FI
864;Etana;FI
865;Mustekala;FI
866;Hummeri;FI
870;Kirjolohifilee, tuoresuolattu;FI
871;Lohifilee;FI
900;Kahvi, kahvijuoma, keskiarvo;FI
901;Tee;FI
902;Olut, keskiolut, 4,5 til% alkoholia;FI
903;Olut, a-olut, 5-5,5 til% alkoholia;FI
904;Viini, keskiarvo, 8-15 til% alkoholia;FI
905;Väkevä viini, makea, katkero, sherry, vermutti, madeira, hedelmäviini;FI
906;Viina, kirkas, vodka, gini;FI
907;Konjakki/rommi/viski, 40 til% alkoholia;FI
908;Likööri, 20-30 til% alkoholia;FI
909;Gin long drink, 5,5 til%;FI
910;Virvoitusjuoma;FI
911;Siideri, makea, <3 til% alkoholia;FI
912;Sima;FI
913;Olut, i-olut, <2,8 til% alkoholia;FI
914;Kalja, kotiolut;FI
915;Kivennäisvesi, mineraalivesi;FI
917;Tee, sitruunateejuomajauhe, valmistamaton, sokerilla makeutettu pikatee;FI
920;Virvoitusjuoma, sokeriton, light;FI
921;Kivennäisvesi, vähänatriuminen;FI
922;Vesi, vesijohtovesi;FI
923;Tee, yrttitee;FI
924;Punaviini;FI
925;Valkoviini, kuiva;FI
926;Valkoviini, makea;FI
928;Virvoitusjuoma, kolajuoma, keskiarvo;FI
929;Viinietikka;FI
930;Kahvi, suodatinkahvijuoma;FI
931;Kahvi, pannukahvijuoma;FI
932;Kahvi, cappuccino, makeuttamaton, täysmaito;FI
933;Väkiviinaetikka;FI
934;Hunaja-omena-viinietikka;FI
936;Mieto viini, 4-5 til% alkoholia;FI
937;Tee, vihreä tee;FI
938;Virvoitusjuoma, osittain keinotekoisesti makeutettu;FI
939;Siideri, makea, 4,7 til% alkoholia;FI
940;Olut, vahva, 7,5-8 til% alkoholia;FI
941;Virvoitusjuoma, kolajuoma light, osittain keinotekoisesti makeutettu;FI
942;Kermalikööri, 15-17 til% alkoholia;FI
946;Tärkkelyssiirappi, glukoosisiirappi;FI
1554;Juustonaksu;FI
5007;Voileipäpikkelssi;FI
11001;Vaalea juurikasvis, keskiarvo;FI
11002;Tummanvihreä lehtikasvis, keskiarvo;FI
11004;Mäti, keskiarvo;FI
11005;Neljän viljan hiutale;FI
11007;Ruusunmarja;FI
11012;Mansikkahillo, kotitekoinen, sokeria 54 %;FI
11013;Appelsiinimarmeladi;FI
11014;Palmuöljy;FI
11030;Jauho, ruissihtijauho;FI
11045;Appelsiini, kuorittu;FI
11046;Mandariini, kuorittu;FI
11047;Greippi, kuorittu;FI
11048;Sitruuna, kuorittu;FI
11049;Banaani, kuorittu;FI
11050;Kiivi, kuorittu;FI
11051;Persikka/nektariini, kuorittu, kivetön;FI
11052;Kirsikka, kivetön;FI
11053;Luumu, kivetön;FI
11054;Aprikoosi, keskiarvo, kivetön;FI
11055;Vesimeloni, kuorittu;FI
11056;Ananas, kuorittu;FI
11057;Avokado, kuorittu, kivetön;FI
11059;Tonnikala, keskiarvo;FI
