FOODID;FOODNAME;LANG
11060;Omena, kotimainen, kuorittu;FI
11061;Omena, ulkomainen, kuorittu;FI
11062;Päärynä, kuorittu;FI
11063;Luumu, kivetön, kuivattu;FI
11064;Herkkusieni, säilyke;FI
11065;Ruusunmarjasose, sokeriton;FI
11067;Tonnikala, vedessä, säilyke;FI
11069;Viini, alkoholiton;FI
11071;Eksoottinen hedelmä, keskiarvo, mango/papaija, kuorittu;FI
11072;Hapankurkku liemineen, venäläinen kurkku;FI
11074;Itu, sinimailasen itu;FI
11086;Pähkinä, cashewpähkinä;FI
11087;Tahini, seesamtahna, ei lisättyä suolaa;FI
11089;Kikherne suolattomassa vedessä;FI
11090;Papu, valkoinen, tomaattikastike;FI
11092;Herajauhe, teollisuuden raaka-aine;FI
11130;Tuorejuusto, rasvaa 6-11 %, maustettu;FI
11131;Juusto, valkohome/valkosinihomejuusto, rasvaa 40%, vit castello;FI
11132;Tuorejuusto, kasvirasvaa, rasvaa 24-30 %;FI
11133;Juusto, puolikova juusto, rasvaa 15-18 %, kevyt, turunmaa/edam 17/adam/magre;FI
11134;Basilika, tuore;FI
